sample,batch,family,bed,bed_index
Sample1,prep_M,Fam1,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample1.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample1.per-base.bed.gz.csi
Sample2,prep_M,Fam2,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample2.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample2.per-base.bed.gz.csi
Sample3,prep_M,Fam3,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample3.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample3.per-base.bed.gz.csi
Sample4,prep_M,Fam4,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample4.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample4.per-base.bed.gz.csi
Sample5,prep_M,Fam5,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample5.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample5.per-base.bed.gz.csi
Sample6,prep_F,Fam6,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample6.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample6.per-base.bed.gz.csi
Sample7,prep_F,Fam7,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample7.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample7.per-base.bed.gz.csi
Sample8,prep_F,Fam8,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample8.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample8.per-base.bed.gz.csi
Sample9,prep_F,Fam9,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample9.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample9.per-base.bed.gz.csi
Sample10,prep_F,Fam9,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample10.per-base.bed.gz,https://raw.githubusercontent.com/nf-cmgg/test-datasets/exomecnv/data/genomics/homo_sapiens/illumina/bed/Sample10.per-base.bed.gz.csi
